employee_id,first_name,last_name,email,phone_number,date_of_birth,address,job_title,department,salary,password_hash,hire_date,country
E1000,Peter,Brown,nkeller@example.com,(427)381-4469x46354,1993-03-05,"Unit 9613 Box 1151, DPO AE 43724",Hotel manager,Operations,54295,c9f7eb5266da0ea5d582a6477c781091765a6c480e126f3f94ba2f42554f725e,2024-04-13,North Macedonia
E1001,Michelle,Peterson,yespinoza@example.org,258.881.9225x792,1986-08-23,"0012 Samantha Walk Apt. 144, West Linda, OH 37717",Public relations officer,Sales,38509,9bc9b9e3e96e883e36b0234f745aebae5937a70a00a6ee620319a99c1be7532a,2025-01-07,Isle of Man
E1002,Kimberly,Thomas,sarah22@example.com,+1-958-214-3572x062,1982-08-14,"391 James Club, Kellyburgh, WY 50442",Hospital pharmacist,IT,55342,658639b0a30501f07c465ef6bbc45f02eb2ed48fc34a7350439741cf077bc000,2018-01-07,Romania
E1003,David,Flynn,bob97@example.org,425.340.9137x61097,1968-01-15,"3238 Thomas Island Apt. 535, Lake Xavier, OR 64678",Occupational therapist,Sales,76366,f6d6a7b74c0c0ce2cf49b85f5380dfe403a179792b1fb325964f51c16b0c1736,2025-03-19,Indonesia
E1004,Daniel,Reeves,hfloyd@example.com,+1-783-513-7461x9514,1992-04-09,"2097 Klein Burg Suite 026, North Jeff, NE 66968",Petroleum engineer,Operations,45180,de9a84a9c314e1f0d14b476c65e61cab8166a7ff7c9d64dc1d8e9d08e3c2094c,2019-10-13,China
E1005,Cristian,Rice,blakekey@example.com,001-774-255-8765,1966-03-14,"PSC 6909, Box 4519, APO AE 01070",Structural engineer,Sales,35276,770b4f6a565e196f9870cf1ef49a2b27fe1af6adb0c318cd7ec48ca5a28f08ee,2019-06-11,Fiji
E1006,Jeffrey,Zamora,ssanford@example.com,545-760-1004,2003-05-10,"1827 Smith Manor Apt. 465, Port William, KY 08030","Surveyor, quantity",HR,72619,f7ef453525034c32e468633bebb917b65eff9ecdd250096082a9e6310727c6c1,2018-08-02,Bolivia
E1007,Andrew,Davis,christopherthompson@example.com,428.416.0225x044,2003-10-09,"Unit 0675 Box 1217, DPO AA 87126",Diagnostic radiographer,Finance,57445,a691ef86d5da7bcdb079c6033b20087f5b1780b5330725062ee8470a38ae8c5b,2025-05-20,Uzbekistan
E1008,Catherine,Ruiz,jeremy97@example.net,001-254-700-3597,1981-12-13,"129 Best Junctions Apt. 556, Dorothyport, MA 41541",Product/process development scientist,IT,34406,cd105d8bd7d63f1a42d9526be1e3a781323d6cde508c1bd9fcc1cf7aeeb57272,2024-01-09,French Southern Territories
E1009,Carmen,Martinez,torrespatrick@example.net,708-230-0089x9001,1996-04-22,"554 Jason Park Suite 323, North Jennifer, NM 34359","Scientist, biomedical",Operations,76054,b409e41654298c21f431497d9e68861efff40d2c7c8e13ec6da8b39cbc13f100,2022-03-03,Czech Republic
